Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count,Owned Copies
"Deadlock (V.I. Warshawski, #2)",Sara Paretsky,0,3.82,Dell,Mass Market Paperback,320.0,1992.0,,2018/10/07,,read,,1,0
Written in Bone,Simon Beckett,0,4.2,Delacorte Press,Hardcover,328.0,2007.0,,2018/10/07,,read,,1,0
The Witch Elm,Tana French,0,3.58,Viking,ebook,528.0,2018.0,,2018/10/07,to-read,to-read,,0,0
They Know Not What They Do,Jussi Valtonen,0,3.81,,Unknown Binding,,,,2018/10/07,to-read,to-read,,0,0
The Beige Man (An Irene Huss Investigation),Helene Tursten,0,3.76,Soho Crime,Paperback,336.0,2015.0,,2018/10/07,to-read,to-read,,0,0
Fatal Error,Michael Ridpath,0,3.86,,Kindle Edition,392.0,2012.0,,2018/10/04,to-read,to-read,,0,0
Final Venture,Michael Ridpath,0,3.96,,Kindle Edition,368.0,2015.0,,2018/10/04,to-read,to-read,,0,0
The History of Bees,Maja Lunde,4,3.81,Atria Books,Hardcover,352.0,2017.0,2018/10/04,2018/09/30,,read,,1,0
The Neighbourhood,Mario Vargas Llosa,0,3.49,Faber & Faber ,Hardcover,256.0,2018.0,,2018/10/02,to-read,to-read,,0,0
The Bad Girl,Mario Vargas Llosa,0,4.13,"Farrar, Straus and Giroux",Hardcover,276.0,2007.0,,2018/10/02,to-read,to-read,,0,0
"Lethal White (Cormoran Strike, #4)",Robert Galbraith,4,4.25,Sphere,Hardcover,650.0,2018.0,2018/09/26,2017/10/17,,read,,1,0
The Girl Who Loved Tom Gordon,Stephen        King,4,3.64,Pocket Books,Mass Market Paperback,309.0,2017.0,2018/09/30,2018/09/07,,read,,1,0
"The Cartel (Power of the Dog, #2)",Don Winslow,5,4.36,Knopf,Hardcover,616.0,2015.0,2018/09/22,2015/12/09,,read,,1,0
Sharp Ends,Joe Abercrombie,0,4.12,Orbit,Hardcover,304.0,2016.0,,2018/09/18,to-read,to-read,,0,0
"Die Strömung (Die Rönning/Stilton-Serie, #3)",Cilla Börjlind,2,4.02,btb,Kindle Edition,561.0,2016.0,2018/09/14,2018/08/14,,read,,1,0
"The Quiet Game (Penn Cage, #1)",Greg Iles,5,4.23,Signet ,ebook,580.0,1999.0,2013/03/09,2013/02/22,,read,,1,0
"The Good Daughter (Good Daughter, #1)",Karin Slaughter,4,4.13,William Morrow ,Hardcover,511.0,2017.0,2018/08/31,2017/12/10,,read,,1,0
Sleeping Beauties,Stephen        King,5,3.73,Scribner,Hardcover,702.0,2017.0,2018/08/14,2018/07/15,,read,,1,0
Pretty Girls,Karin Slaughter,0,4.02,William Morrow,Paperback,432.0,2015.0,,2018/08/09,to-read,to-read,,0,0
Glückskind mit Vater,Christoph Hein,0,4.04,Suhrkamp Verlag,Hardcover,527.0,2016.0,,2018/08/09,to-read,to-read,,0,0
"Devil's Peak (Benny Griessel, #1)",Deon Meyer,4,4.05,Hodder & Stoughton,Hardcover,409.0,2007.0,2018/08/03,2018/07/01,,read,,1,0
"Rotwild (Ein Fall für Ingrid Nyström und Stina Forss, #2)",Roman Voosen,0,3.85,Kiepenheuer & Witsch,Paperback,432.0,2013.0,,2018/07/29,to-read,to-read,,0,0
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,5,3.91,Doubleday,Hardcover,403.0,2013.0,2018/07/16,2018/06/15,,read,,1,0
Prediction Machines: The Simple Economics of Artificial Intelligence,Ajay Agrawal,5,3.87,Harvard Business Review Press,Kindle Edition,328.0,2018.0,2018/07/16,2018/04/17,,read,,1,0
"Third Voice (Rönning & Stilton, #2)",Cilla Börjlind,2,3.91,Hesperus Press,Paperback,464.0,2015.0,2018/07/15,2018/06/28,,read,,1,0
4 3 2 1,Paul Auster,0,3.97,Henry Holt and Co.,Hardcover,866.0,2017.0,,2017/02/01,never-finished,never-finished,,0,0
The Path: What Chinese Philosophers Can Teach Us About the Good Life,Michael Puett,0,3.74,Simon & Schuster,Hardcover,224.0,2016.0,,2017/03/30,never-finished,never-finished,,0,0
"東京喰種トーキョーグール 9 [Tokyo Guru 9] (Tokyo Ghoul, #9)",Sui Ishida,0,4.27,集英社,Paperback,200.0,2013.0,,2017/05/06,never-finished,never-finished,,0,0
"Blackout (Dark Iceland, #3)",Ragnar Jónasson,0,3.66,Orenda Books,Kindle Edition,271.0,2016.0,,2018/07/10,to-read,to-read,,0,0
The Sense of an Ending,Julian Barnes,5,3.74,Jonathan Cape,Hardcover,150.0,2011.0,2018/07/10,2018/04/04,,read,,1,0
"Heart of the Hunter (Thobela Mpayipheli, #1)",Deon Meyer,0,4.02,"Little, Brown and Company",Mass Market Paperback,487.0,2005.0,,2018/07/01,to-read,to-read,,0,0
"Dead Before Dying (Mat Joubert, #1)",Deon Meyer,0,3.94,"Little, Brown and Company",Hardcover,352.0,2006.0,,2018/07/01,to-read,to-read,,0,0
Dead at Daybreak (Mat Joubert #1.5),Deon Meyer,0,4.05,"Little, Brown and Company",Mass Market Paperback,496.0,2006.0,,2018/07/01,to-read,to-read,,0,0
Trackers (Lemmer #2),Deon Meyer,0,3.91,Random House Canada,Paperback,496.0,2011.0,,2018/07/01,to-read,to-read,,0,0
Blood Safari (Lemmer #1),Deon Meyer,0,3.9,Random House Canada,Hardcover,384.0,2009.0,,2018/07/01,to-read,to-read,,0,0
Fever,Deon Meyer,5,4.29,Hodder & Stoughton General Division ,Paperback,536.0,2017.0,2018/07/01,2018/03/26,,read,,1,0
"Sov du lilla videung (Rönning & Stilton, #4)",Cilla Börjlind,0,4.1,Norstedts,Hardcover,441.0,2016.0,,2018/06/28,to-read,to-read,,0,0
"Svart gryning (Rönning & Stilton, #3)",Cilla Börjlind,0,4.02,Norstedts,Hardcover,423.0,2014.0,,2018/06/28,to-read,to-read,,0,0
"Der nasse Fisch (Gereon Rath, #1)",Volker Kutscher,4,3.76,Kiepenheuer & Witsch,Hardcover,494.0,2007.0,2018/06/27,2013/01/15,,read,,1,0
I Remember You,Yrsa Sigurdardottir,0,3.83,Hodder & Stoughton,Paperback,391.0,2012.0,,2013/08/20,to-read,to-read,,0,0
"The Hunter (Parker, #1)",Richard Stark,0,3.99,Pocket Books,Mass Market Paperback,208.0,1962.0,,2018/06/18,to-read,to-read,,0,0
The Outsider,Stephen        King,5,4.01,Scribner,Hardcover,561.0,2018.0,2018/06/14,2018/04/03,,read,,1,0
"Todesreigen (Maarten S. Sneijder, #4)",Andreas Gruber,4,4.4,Goldmann Verlag,Paperback,572.0,2017.0,2018/06/14,2018/05/28,,read,,1,0
A Tale for the Time Being,Ruth Ozeki,4,4.06,Viking,Hardcover,432.0,2013.0,2018/06/04,2013/03/16,,read,,1,0
White Ghost Girls,Alice Greenway,4,3.27,"Grove Press, Black Cat",Paperback,168.0,2006.0,,2011/05/28,to-read,to-read,,1,0
Habit of a Foreign Sky,Xu Xi,0,3.28,Haven Books,Paperback,281.0,2010.0,,2018/06/01,to-read,to-read,,0,0
Die Springflut,Cilla Börjlind,3,3.94,btb,Hardcover,592.0,2013.0,2018/05/28,2018/04/29,,read,,1,0
The Thief,Fuminori Nakamura,4,3.52,Soho Crime,Hardcover,211.0,2012.0,2018/05/28,2018/05/25,,read,,1,0
Righteous (IQ #2),Joe Ide,4,3.86,Mulholland Books,Kindle Edition,336.0,2017.0,2018/05/25,2018/05/13,,read,,1,0
"The Last Train (Detective Hiroshi, #1)",Michael Pronko,4,4.07,Raked Gravel Press,Paperback,335.0,2017.0,2018/05/13,2018/04/13,,read,,1,0
Let the Right One In,John Ajvide Lindqvist,4,4.04,Quercus,Hardcover,513.0,2007.0,2018/05/05,2018/04/14,,read,,1,0
Handling the Undead,John Ajvide Lindqvist,0,3.49,Text Publishing,Paperback,384.0,2009.0,,2018/05/05,to-read,to-read,,0,0
On Beulah Height (Dalziel & Pascoe #17),Reginald Hill,0,4.15,Dell,Mass Market Paperback,560.0,1999.0,,2018/04/29,to-read,to-read,,0,0
"De mørke mænd (Niels Oxen, #2)",Jens Henrik Jensen,4,3.95,Politiken,ebook,,2014.0,2018/04/26,2017/09/08,,read,,1,0
Red Sparrow (Red Sparrow Trilogy #1),Jason  Matthews,5,3.95,Scribner,Paperback,551.0,2018.0,2018/04/25,2018/03/14,,read,,1,0
Theory of Bastards,Audrey Schulman,0,4.03,Europa Editions,ebook,416.0,2018.0,,2018/04/20,to-read,to-read,,0,0
"Invisible (Invisible, #1)",James  Patterson,0,4.15,"Little, Brown and Company",Hardcover,399.0,2014.0,,2018/04/17,to-read,to-read,,0,0
Motions and Moments: More Essays on Tokyo,Michael Pronko,0,4.14,Raked Gravel Press,Paperback,264.0,2015.0,,2018/04/13,to-read,to-read,,0,0
Beauty and Chaos: Slices and Morsels of Tokyo Life,Michael Pronko,0,3.87,Raked Gravel Press,Paperback,274.0,2014.0,,2018/04/13,to-read,to-read,,0,0
No Longer Human,Osamu Dazai,0,3.96,New Directions,Paperback,176.0,1958.0,,2018/04/08,to-read,to-read,,0,0
"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,4,4.17,Minotaur Books,Hardcover,298.0,2011.0,2018/04/05,2012/12/06,,read,,1,0
Confessions,Kanae Minato,0,3.94,Mulholland Books,Paperback,240.0,2014.0,,2018/04/03,to-read,to-read,,0,0
Patriot Number One: American Dreams in Chinatown,Lauren Hilgers,0,3.85,Crown,Hardcover,325.0,2018.0,,2018/04/03,to-read,to-read,,0,0
Rituals,Cees Nooteboom,0,3.67,Penguin Books,Paperback,145.0,1992.0,,2018/04/02,to-read,to-read,,0,0
A Tokyo Romance,Ian Buruma,4,3.4,Penguin Press,Hardcover,256.0,2018.0,2018/03/31,2018/03/14,,read,,1,0
Living Carelessly in Tokyo and Elsewhere: A Memoir,John Nathan,0,3.43,Free Press,Hardcover,336.0,2008.0,,2018/03/31,to-read,to-read,,0,0
Tokyo Central: A Memoir (McLellan Books),Edward G. Seidensticker,0,3.14,University of Washington Press,Hardcover,250.0,2002.0,,2018/03/30,to-read,to-read,,0,0
Paper Ghosts,Julia Heaberlin,0,3.63,Ballantine Books,Hardcover,351.0,2018.0,,2018/03/26,to-read,to-read,,0,0
Black-Eyed Susans,Julia Heaberlin,0,3.78,Ballantine Books,Hardcover,354.0,2015.0,,2018/03/26,to-read,to-read,,0,0
Between the World and Me,Ta-Nehisi Coates,5,4.4,Spiegel & Grau,Hardcover,152.0,2015.0,2018/03/25,2018/03/24,,read,,1,0
"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,3,4.04,Del Rey / Ballantine Books,Mass Market Paperback,526.0,2006.0,2018/03/24,2018/03/04,,read,,1,0
"Todesmärchen (Maarten S. Sneijder, #3)",Andreas Gruber,3,4.55,Goldmann Verlag,Paperback,544.0,2016.0,2018/03/20,2018/02/08,,read,,1,0
The Inland Sea,Donald Richie,0,3.85,Stone Bridge Press,Paperback,320.0,2015.0,,2018/03/14,to-read,to-read,,0,0
One Hundred Years of Solitude,Gabriel García Márquez,4,4.12,Harper,Mass Market Paperback,417.0,2003.0,,2011/04/07,,read,,2,0
"Woken Furies (Takeshi Kovacs, #3)",Richard K. Morgan,0,4.01,Del Rey,Hardcover,464.0,2005.0,,2018/03/04,to-read,to-read,,0,0
"Broken Angels (Takeshi Kovacs, #2)",Richard K. Morgan,0,3.93,Del Rey,Trade Paperback,366.0,2004.0,,2018/03/04,to-read,to-read,,0,0
"Crescent City Kill (Skip Langdon, #7)",Julie Smith,0,3.94,Ivy Books/Ballantine Books,Mass Market Paperback,368.0,1998.0,,2015/04/03,"to-read, kobo",to-read,,0,0
"The Undertaker's Daughter (Ilka Jensen, #1)",Sara Blaedel,3,3.15,Grand Central Publishing,Hardcover,326.0,2018.0,2018/02/23,2018/02/02,,read,,1,0
"虚像の道化師 [Kyozo No Dokeshi] (ガリレオ, #7)",東野 圭吾,0,3.87,文藝春秋,Tankōbon,276.0,2012.0,,2018/02/22,to-read,to-read,,0,0
A Midsummer's Equation (Detective Galileo #3),Keigo Higashino,0,3.95,Minotaur Books,Hardcover,358.0,2016.0,,2018/02/22,to-read,to-read,,0,0
"ガリレオの苦悩 [Garireo no Kunō] (ガリレオ, #4)",Keigo Higashino,0,3.77,文藝春秋,Tankōbon,339.0,2008.0,,2018/02/22,to-read,to-read,,0,0
"予知夢 [Yochimu] (ガリレオ, #2)",Keigo Higashino,0,3.56,文藝春秋,Mass Market Paperback,270.0,2003.0,,2018/02/22,to-read,to-read,,0,0
"探偵ガリレオ [Tantei Garireo] (ガリレオ, #1)",Keigo Higashino,0,3.72,文藝春秋,Mass Market Paperback,330.0,2006.0,,2018/02/22,to-read,to-read,,0,0
Journey Under the Midnight Sun,Keigo Higashino,0,4.33,"Little, Brown",Paperback,539.0,2015.0,,2018/02/22,to-read,to-read,,0,0
"Malice (Detective Kaga, #1)",Keigo Higashino,0,4.05,Minotaur Books,Hardcover,288.0,2014.0,,2018/02/22,to-read,to-read,,0,0
"Salvation of a Saint (Detective Galileo, #2)",Keigo Higashino,0,4.01,Minotaur Books,Hardcover,330.0,2012.0,,2018/02/22,to-read,to-read,,0,0
"The Beautiful Struggle: A Father, Two Sons, and an Unlikely Road to Manhood",Ta-Nehisi Coates,5,4.08,,Paperback,227.0,,2018/02/15,2018/02/02,,read,,1,0
"Laughing Without an Accent: Adventures of an Iranian American, at Home and Abroad",Firoozeh Dumas,0,3.8,Villard,Hardcover,226.0,2008.0,,2018/02/10,to-read,to-read,,0,0
"It Ain't So Awful, Falafel",Firoozeh Dumas,0,4.25,Clarion Books,Hardcover,378.0,2016.0,,2018/02/10,to-read,to-read,,0,0
Funny in Farsi: A Memoir of Growing Up Iranian in America,Firoozeh Dumas,5,3.83,Random House Trade Paperbacks,Paperback,240.0,2004.0,2018/02/10,2018/02/02,,read,,1,0
"De hængte hunde (Niels Oxen, #1)",Jens Henrik Jensen,3,3.79,Politikens Forlag ,Paperback,411.0,2012.0,2018/02/08,2017/09/08,,read,,1,0
"Beartown (Beartown, #1)",Fredrik Backman,4,4.29,Simon & Schuster,ebook,432.0,2017.0,2018/02/07,2018/01/21,,read,,1,0
The Forgotten Girls (Louise Rick #7),Sara Blaedel,0,3.57,Grand Central Publishing,Hardcover,312.0,2015.0,,2018/02/02,to-read,to-read,,0,0
Ghosts of the Tsunami: Death and Life in Japan's Disaster Zone,Richard Lloyd Parry,5,4.2,Jonathan Cape Ltd,Hardcover,276.0,2017.0,2018/01/28,2018/01/14,,read,,1,0
"Cockroaches (Harry Hole, #2)",Jo Nesbø,3,3.73,Vintage Crime/Black Lizard,Paperback,368.0,2014.0,2018/01/21,2017/09/15,,read,,1,0
American Pastoral,Philip Roth,0,3.95,Vintage,Paperback,432.0,1998.0,,2018/01/19,to-read,to-read,,0,0
People Who Eat Darkness: The Fate of Lucie Blackman,Richard Lloyd Parry,0,3.79,Jonathan Cape,Hardcover,404.0,2011.0,,2018/01/18,to-read,to-read,,0,0
Manhattan Beach,Jennifer Egan,5,3.62,Scribner,Hardcover,438.0,2017.0,2018/01/08,2017/11/05,,read,,1,0
"My Sister's Grave (Tracy Crosswhite, #1)",Robert Dugoni,0,4.1,Thomas & Mercer,Paperback,410.0,2014.0,,2018/01/01,to-read,to-read,,0,0
"Death of a Village (Hamish Macbeth, #18)",M.C. Beaton,3,3.91,Warner Books,Mass Market Paperback,235.0,2004.0,2018/01/01,2013/02/07,,read,,1,0
"IQ (IQ, #1)",Joe Ide,4,3.78,Mulholland Books,Hardcover,325.0,2016.0,2017/12/30,2017/12/26,,read,,1,0
"The Thirst (Harry Hole, #11)",Jo Nesbø,5,4.18,Knopf,Hardcover,467.0,2017.0,2017/12/26,2017/09/15,,read,,1,0
"Death of a Celebrity (Hamish Macbeth, #17)",M.C. Beaton,0,3.87,Warner Books,Mass Market Paperback,274.0,2003.0,,2013/02/07,,read,,1,0
Cryptoassets: The Innovative Investor's Guide to Bitcoin and Beyond,Chris Burniske,5,3.92,McGraw Hill,Kindle Edition,369.0,2017.0,2017/12/17,2017/11/27,,read,,1,0
Devil Take the Hindmost: A History of Financial Speculation,Edward Chancellor,0,3.99,Plume,Paperback,400.0,2000.0,,2017/12/16,to-read,to-read,,0,0
"Midnight Sun (Blood on Snow, #2)",Jo Nesbø,0,3.61,Vintage Digital,Kindle Edition,224.0,2015.0,,2017/12/10,to-read,to-read,,0,0
"Blood on Snow (Blood on Snow, #1)",Jo Nesbø,0,3.55,Knopf,Hardcover,207.0,2015.0,,2017/12/10,to-read,to-read,,0,0
"Police (Harry Hole, #10)",Jo Nesbø,4,4.24,RANDOM HOUSE UK,Paperback,628.0,2014.0,2017/12/10,2017/11/28,,read,,1,0
Moonglow,Michael Chabon,0,3.8,Harper,Hardcover,430.0,2016.0,,2017/12/10,to-read,to-read,,0,0
The Tea Girl of Hummingbird Lane,Lisa See,0,4.28,Scribner,Hardcover,370.0,2017.0,,2017/12/10,to-read,to-read,,0,0
Into the Water,Paula Hawkins,0,3.59,Riverhead Books,Hardcover,386.0,2017.0,,2017/12/10,to-read,to-read,,0,0
The Refugees,Viet Thanh Nguyen,0,3.87,Grove Press,Hardcover,209.0,2017.0,,2017/12/10,to-read,to-read,,0,0
It,Stephen        King,5,4.24,Signet,Mass Market Paperback,1090.0,2002.0,,2015/04/03,kobo,read,,1,0
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,0,4.2,William Morrow Paperbacks,ebook,275.0,2003.0,,2017/12/02,to-read,to-read,,0,0
Detective Inspector Huss (Inspector Huss #1),Helene Tursten,0,3.67,Soho Crime,Paperback,371.0,2004.0,,2017/12/01,to-read,to-read,,0,0
"Frelseren (Harry Hole, #6)",Jo Nesbø,5,4.09,Modtryk,Paperback,479.0,2007.0,2017/11/29,2017/09/15,,read,,1,0
"Faceless Killers (Kurt Wallander, #1)",Henning Mankell,0,3.76,Vintage Crime/Black Lizard,Paperback,280.0,2003.0,,2017/11/20,to-read,to-read,,0,0
"The Snowman (Harry Hole, #7)",Jo Nesbø,5,4.02,Knopf Publishing Group,Mass Market Paperback,383.0,2011.0,2017/11/20,2017/09/15,,read,,1,0
"Cursed (Henning Juul, 4)",Thomas Enger,0,4.05,Audible Studios on Brilliance Audio,MP3 CD,0.0,2017.0,,2017/09/15,to-read,to-read,,0,0
"Two Kinds of Truth (Harry Bosch, #20; Harry Bosch Universe, #31)",Michael    Connelly,5,4.28,"Little, Brown and Company",ebook,417.0,2017.0,2017/11/11,2017/11/06,,read,,1,0
The Golden House,Salman Rushdie,5,3.67,Random House,Hardcover,380.0,2017.0,2017/11/06,2017/05/25,,read,,1,0
Righteous (IQ #2),Joe Ide,0,3.86,Mulholland Books,Hardcover,336.0,2017.0,,2017/11/05,to-read,to-read,,0,0
Lincoln in the Bardo,George Saunders,0,3.75,Random House,Hardcover,368.0,2017.0,,2017/11/05,to-read,to-read,,0,0
The Leavers,Lisa Ko,0,3.89,Algonquin Books,Hardcover,396.0,2017.0,,2017/11/05,to-read,to-read,,0,0
The City Always Wins,Omar Robert Hamilton,5,3.84,MCD,Hardcover,336.0,2017.0,2017/10/28,2017/09/08,,read,,1,0
"A Legacy of Spies (George Smiley, #9)",John Le Carré,5,3.89,Viking Pr,Hardcover,264.0,2013.0,2017/10/22,2017/10/15,,read,,1,0
Cybersecurity Dilemma,Ben  Buchanan,0,4.24,C Hurst & Co Publishers Ltd,Paperback,296.0,2017.0,,2017/10/15,to-read,to-read,,0,0
The Truth About the Harry Quebert Affair,Joël Dicker,3,4.2,MacLehose Press,Hardcover,624.0,2014.0,2017/10/15,2017/01/01,,read,,1,0
The Glass Castle,Jeannette Walls,0,4.32,Scribner,Paperback,288.0,2006.0,,2017/10/04,to-read,to-read,,0,0
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,0,4.56,Pocket Books,Mass Market Paperback,960.0,1999.0,,2017/10/04,to-read,to-read,,0,0
The Amazing Adventures of Kavalier & Clay,Michael Chabon,0,4.18,Picador USA,Paperback,639.0,2001.0,,2017/10/04,to-read,to-read,,0,0
Empire Falls,Richard Russo,5,3.94,Vintage Books,Paperback,483.0,2002.0,2017/10/04,2011/02/19,,read,,1,0
The Ministry of Utmost Happiness,Arundhati Roy,0,3.55,Hamish Hamilton,Hardcover,445.0,2017.0,,2017/09/23,to-read,to-read,,0,0
Since We Fell,Dennis Lehane,0,3.61,Ecco,Hardcover,419.0,2017.0,,2017/09/23,to-read,to-read,,0,0
Baltimore Boys,Joël Dicker,5,4.11,MacLehose Press,Paperback,448.0,2017.0,2017/09/23,2017/09/15,,read,,1,0
"Häxan (Patrik Hedström, #10)",Camilla Läckberg,0,3.93,Bokförlaget Forum,Hardcover,607.0,2017.0,,2017/09/16,to-read,to-read,,0,0
"Lejontämjaren (Patrik Hedström, #9)",Camilla Läckberg,0,3.97,Bonnier Audio,Audio CD,0.0,2014.0,,2017/09/16,to-read,to-read,,0,0
"The Girl Who Takes an Eye for an Eye (Millennium, #5)",David Lagercrantz,0,3.8,MacLehose Press,ebook,347.0,2017.0,,2017/09/16,to-read,to-read,,0,0
Avenue of Mysteries,John Irving,0,3.27,Simon & Schuster,Paperback,496.0,2016.0,,2017/09/16,to-read,to-read,,0,0
Ghost Month (Taipei Night Market #1),Ed Lin,0,3.27,Soho Crime,Hardcover,336.0,2014.0,,2017/09/16,to-read,to-read,,0,0
"Port Mortuary (Kay Scarpetta, #18)",Patricia Cornwell,0,3.65,Putnam,Hardcover,496.0,2010.0,,2017/09/15,to-read,to-read,,0,0
"Chaos (Kay Scarpetta, #24)",Patricia Cornwell,0,3.67,William Morrow,Kindle Edition,0.0,2016.0,,2017/09/15,to-read,to-read,,0,0
"Depraved Heart (Kay Scarpetta, #23)",Patricia Cornwell,0,3.7,William Morrow,Hardcover,466.0,2015.0,,2017/09/15,to-read,to-read,,0,0
"Flesh and Blood (Kay Scarpetta, #22)",Patricia Cornwell,0,3.77,William Morrow ,Hardcover,369.0,2014.0,,2017/09/15,to-read,to-read,,0,0
"The Beat Goes On (Inspector Rebus, #3.5, #13.5 & more)",Ian Rankin,0,4.13,Orion,Paperback,451.0,2014.0,,2017/09/15,to-read,to-read,,0,0
"Death Is Not the End (Inspector Rebus, #10.5)",Ian Rankin,0,3.75,Minotaur Books,Hardcover,73.0,2000.0,,2017/09/15,to-read,to-read,,0,0
South China Morning Blues,Ray Hecht,0,3.92,Blacksmith Books,Paperback,352.0,2016.0,,2017/09/15,to-read,to-read,,0,0
Den onde arven,Thomas Enger,0,3.38,Gyldendal,Hardcover,349.0,2013.0,,2017/09/15,to-read,to-read,,0,0
"Banesår (Henning Juul, #5)",Thomas Enger,0,4.18,gyldendal,,382.0,2015.0,,2017/09/15,to-read,to-read,,0,0
"Våpenskjold (Henning Juul, #4)",Thomas Enger,0,4.05,Gyldendal,Hardcover,390.0,2014.0,,2017/09/15,to-read,to-read,,0,0
"The Dead Tracks (David Raker, #2)",Tim Weaver,0,4.18,Michael Joseph,Paperback,550.0,2011.0,,2017/09/15,to-read,to-read,,0,0
"Chasing the Dead (David Raker, #1)",Tim Weaver,0,3.66,Penguin,Paperback,448.0,2010.0,,2017/09/15,to-read,to-read,,0,0
"What Remains (David Raker, #6)",Tim Weaver,0,4.09,Penguin,ebook,592.0,2015.0,,2017/09/15,to-read,to-read,,0,0
Six Four,Hideo Yokoyama,5,3.47,"Farrar, Straus and Giroux",Hardcover,576.0,2017.0,2017/09/15,2017/09/01,,read,,1,0
"Nineteen Seventy Four (Red Riding, #1)",David Peace,0,3.61,Serpent's Tail,Paperback,320.0,2000.0,,2017/09/08,to-read,to-read,,0,0
"Tokyo Year Zero (Tokyo Trilogy, #1)",David Peace,0,3.32,Knopf,Hardcover,355.0,2007.0,,2017/09/08,to-read,to-read,,0,0
"Block 46 (Emily Roy & Alexis Castells, #1)",Johana Gustawsson,0,3.96,ORENDA BOOKS,Kindle Edition,364.0,2017.0,,2017/09/08,to-read,to-read,,0,0
My Absolute Darling,Gabriel Tallent,0,3.6,Riverhead Books,Hardcover,417.0,2017.0,,2017/09/08,to-read,to-read,,0,0
The Underground Railroad,Colson Whitehead,5,4.06,Doubleday,Hardcover,320.0,2016.0,2017/09/01,2017/04/10,,read,,1,0
"The Girl with All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,0,3.95,Orbit ,Paperback,461.0,2014.0,,2017/08/27,to-read,to-read,,0,0
The Undesired,Yrsa Sigurdardottir,0,3.7,Hodder & Stoughton,Hardcover,353.0,2015.0,,2017/08/26,to-read,to-read,,0,0
Fatal Crossing,Lone Theils,3,3.58,Bonnier Publishing Australia,Paperback,288.0,2017.0,2017/08/27,2017/08/22,,read,,1,0
"The Remorseful Day (Inspector Morse, #13)",Colin Dexter,4,4.25,Crown,Hardcover,384.0,2000.0,2017/08/22,2017/05/22,,read,,1,0
"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",Evan Osnos,0,4.25,"Farrar, Straus and Giroux",Hardcover,403.0,2014.0,,2017/08/19,to-read,to-read,,0,0
Unsavory Elements: Stories of Foreigners on the Loose in China,Tom  Carter,0,3.59,Earnshaw Books,Paperback,304.0,2013.0,,2017/08/19,to-read,to-read,,0,0
Good Chinese Wife: A Love Affair with China Gone Wrong,Susan Blumberg-Kason,0,3.69,Sourcebooks,Paperback,352.0,2014.0,,2017/08/19,to-read,to-read,,0,0
"Silent Child (Silent Child, #1)",Sarah A. Denzil,0,4.02,,ebook,416.0,2017.0,,2017/08/19,to-read,to-read,,0,0
How Does One Dress to Buy Dragonfruit? True Stories of Expat Women in Asia,Shannon  Young,0,4.23,Signal 8 Press,Paperback,324.0,2014.0,,2017/08/18,to-read,to-read,,0,0
American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,5,4.41,Portfolio,Hardcover,328.0,2017.0,2017/08/12,2016/12/01,,read,,1,0
Amnesia,Michael Ridpath,0,3.99,,Kindle Edition,498.0,2017.0,,2017/08/05,to-read,to-read,,0,0
The Social Organism: A Radical Understanding of Social Media to Transform Your Business and Life,Oliver Luckett,0,3.54,Grand Central Publishing,Hardcover,336.0,2016.0,,2017/08/05,to-read,to-read,,0,0
The Unfair Trade: How Our Broken Global Financial System Destroys the Middle Class,Michael J. Casey,0,3.69,Crown Business,Hardcover,416.0,2012.0,,2017/08/05,to-read,to-read,,0,0
"The Late Show (Renée Ballard, #1; Harry Bosch Universe, #30)",Michael    Connelly,5,4.11,"Little, Brown and Company",Hardcover,405.0,2017.0,2017/08/05,2017/07/30,,read,,1,0
The Force,Don Winslow,5,4.12,William Morrow,Hardcover,496.0,2017.0,2017/07/30,2017/07/07,,read,,1,0
"Camino Island (Camino Island, #1)",John Grisham,4,3.82,Doubleday,Hardcover,290.0,2017.0,2017/07/07,2017/06/29,,read,,1,0
"Seven for a Secret (Timothy Wilde, #2)",Lyndsay Faye,0,4.06,G.P. Putnam's Sons,Hardcover,445.0,2013.0,,2017/07/04,to-read,to-read,,0,0
"The Gods of Gotham (Timothy Wilde, #1)",Lyndsay Faye,0,3.87,Amy Einhorn Books/Putnam,Hardcover,408.0,2012.0,,2017/07/04,to-read,to-read,,0,0
"Home (Myron Bolitar, #11)",Harlan Coben,3,4.2,Dutton,Hardcover,387.0,2016.0,2017/06/23,2017/06/14,,read,,1,0
"Selfies (Afdeling Q, #7)",Jussi Adler-Olsen,5,3.92,Politikens Forlag,Paperback,505.0,2016.0,2017/06/14,2017/06/09,,read,,1,0
"Järnblod (Annika Bengtzon, #11)",Liza Marklund,0,3.44,Piratförlaget,Hardcover,400.0,2015.0,,2017/06/06,to-read,to-read,,0,0
